Area, County
Albany County,Albany County
Albany-Rensselaer-Schenectady Counties,
Albany-Schenectady-Troy Metro Area,
Allegany County,Allegany County
Allegany-Cattaraugus,
Amsterdam  NY Micropolitan Statistical Area,
Auburn  NY Micropolitan Statistical Area,
BALANCE OF STATE,
Batavia  NY Micropolitan Statistical Area,
Binghamton Metro Area,
Bronx County,Bronx County
Broome County,Broome County
Broome-Tioga,
Buffalo-Niagara Falls Metro Area,
Capital Region,
Cattaraugus County,Cattaraugus County
Cayuga County,Cayuga County
Cayuga-Cortland,
Central New York Region,
Chautauqua,
Chautauqua County,Chautauqua County
Chemung County,Chemung County
Chemung-Schuyler-Steuben,
Chenango County,Chenango County
Chenango-Delaware-Otsego,
Clinton County,Clinton County
Clinton-Essex-Franklin-Hamilton,
Columbia County,Columbia County
Columbia-Greene,
Corning  NY Micropolitan Statistical Area,
Cortland County,Cortland County
Cortland  NY Micropolitan Statistical Area,
Delaware County,Delaware County
Dutchess,
Dutchess County,Dutchess County
Dutchess-Putnam Metropolitan Division,
Elmira Metro Area,
Erie,
Erie County,Erie County
Essex County,Essex County
Finger Lakes Region,
Franklin County,Franklin County
Fulton County,Fulton County
Fulton-Montgomery-Schoharie,
Genesee County,Genesee County
Genesee-Livingston-Orleans-Wyoming,
Glens Falls Metro Area,
Gloversville  NY Micropolitan Statistical Area,
Greene County,Greene County
Hamilton County,Hamilton County
Herkimer County,Herkimer County
Herkimer-Madison-Oneida,
Hudson Valley Region,
Hudson  NY Micropolitan Statistical Area,
Ithaca Metro Area,
Jamestown-Dunkirk-Fredonia  NY Micropolitan Statistical Area,
Jefferson County,Jefferson County
Jefferson-Lewis,
Kings County,Kings County
Kingston Metro Area,
Lewis County,Lewis County
Livingston County,Livingston County
Long Island Region,
Madison County,Madison County
Malone  NY Micropolitan Statistical Area,
Mohawk Valley Region,
Monroe,
Monroe County,Monroe County
Montgomery County,Montgomery County
Nassau County,Nassau County
Nassau-Suffolk Metropolitan Division,
New York City,
New York City Region,
New York County,New York County
New York State,
Niagara,
Niagara County,Niagara County
North Country Region,
Ogdensburg-Massena  NY Micropolitan Statistical Area,
Olean  NY Micropolitan Statistical Area,
Oneida County,Oneida County
Oneonta  NY Micropolitan Statistical Area,
Onondaga,
Onondaga County,Onondaga County
Ontario County,Ontario County
Ontario-Seneca-Wayne-Yates,
Orange,
Orange County,Orange County
Orange-Rockland-Westchester Metro Area,
Orleans County,Orleans County
Oswego,
Oswego County,Oswego County
Otsego County,Otsego County
Plattsburgh  NY Micropolitan Statistical Area,
Putnam County,Putnam County
Putnam-Balance Of Westchester,
Queens County,Queens County
Rensselaer County,Rensselaer County
Richmond County,Richmond County
Rochester Metro Area,
Rockland,
Rockland County,Rockland County
Saratoga County,Saratoga County
Saratoga-Warren-Washington,
Schenectady County,Schenectady County
Schoharie County,Schoharie County
Schuyler County,Schuyler County
Seneca County,Seneca County
Seneca Falls  NY Micropolitan Statistical Area,
Southern Tier Region,
St. Lawrence,
St. Lawrence County,St. Lawrence County
Steuben County,Steuben County
Suffolk,
Suffolk County,Suffolk County
Sullivan,
Sullivan County,Sullivan County
Syracuse Metro Area,
Tioga County,Tioga County
Tompkins,
Tompkins County,Tompkins County
Ulster,
Ulster County,Ulster County
Utica-Rome Metro Area,
Warren County,Warren County
Washington County,Washington County
Watertown-Fort Drum Metro Area,
Wayne County,Wayne County
Westchester County,Westchester County
Western New York Region,
Wyoming County,Wyoming County
Yates County,Yates County